code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority
002821,凯莱英,自动发现,今日自动发现,162.51,0.32,150.0,168.98,150.0,161.99,245837.0,4.77,0.86,20260720161454,0.6591148577449946,-3.8288554858563084,8.339999999999993,8.339999999999993,,C,50.0,0.32,54.78,69.81,0.0,0.0,,False,0.0,0,,回避,当前无优势,69.81,0
001248,华润新能,自动发现,今日自动发现,12.98,2.45,12.48,13.27,12.42,12.67,237204.0,17.39,1.06,20260720161430,0.6588235294117656,-2.1853805576488305,4.508856682769724,4.006410256410264,,C,50.0,2.45,54.75,69.7,0.0,10.0,换手率偏高,False,0.0,0,,回避,当前无优势,69.7,0
300059,东方财富,自动发现,今日自动发现,20.18,2.44,19.8,20.43,19.8,19.7,770001.0,2.87,1.09,20260720161454,0.6031746031746026,-1.2236906510034284,1.9191919191919204,1.9191919191919204,,C,50.0,2.44,55.77,69.7,0.0,0.0,,False,0.0,0,,回避,当前无优势,69.7,0
000807,云铝股份,自动发现,今日自动发现,26.02,3.58,25.45,26.65,25.02,25.12,294030.0,3.27,0.87,20260720161421,0.6134969325153378,-2.3639774859287033,3.996802557953627,2.2396856581532454,,C,50.0,3.58,54.94,69.62,0.0,0.0,,False,0.0,0,,回避,当前无优势,69.62,0
603893,瑞芯微,自动发现,今日自动发现,208.0,2.97,205.23,216.0,193.36,202.0,657101.0,7.54,1.21,20260720161437,0.6466431095406359,-3.703703703703709,7.571369466280498,1.3497052087901418,,C,50.0,2.97,55.64,67.43,0.0,0.0,,False,0.0,0,,回避,当前无优势,67.43,0
000977,浪潮信息,自动发现,今日自动发现,81.29,5.03,82.02,85.14,78.52,77.4,1411657.0,11.68,1.08,20260720161433,0.41842900302114927,-4.521963824289399,3.527763627101388,-0.8900268227261532,,C,50.0,5.03,56.3,66.17,0.0,8.0,距日内高点较远,False,0.0,0,,回避,当前无优势,66.17,0
000703,恒逸石化,自动发现,今日自动发现,15.11,3.14,14.85,15.48,14.74,14.65,182731.0,3.17,1.43,20260720161430,0.4999999999999988,-2.3901808785529832,2.5101763907734,1.7508417508417473,,C,50.0,3.14,54.52,65.67,0.0,0.0,,False,0.0,0,,回避,当前无优势,65.67,0
603127,昭衍新药,自动发现,今日自动发现,47.0,-1.94,43.14,48.48,43.14,47.93,432811.0,14.99,1.37,20260720161451,0.722846441947566,-3.052805280528048,8.947612424663888,8.947612424663888,,C,50.0,-1.94,55.27,65.62,0.0,0.0,,False,0.0,0,,回避,当前无优势,65.62,0
600988,赤峰黄金,自动发现,今日自动发现,32.25,1.61,31.25,33.2,30.93,31.74,194956.0,3.64,0.79,20260720161438,0.5814977973568275,-2.8614457831325435,4.267701260911738,3.200000000000003,,C,50.0,1.61,54.58,64.88,0.0,0.0,,False,0.0,0,,回避,当前无优势,64.88,0
300308,中际旭创,光模块/CPO,核心池,1004.0,2.51,1028.43,1057.77,967.68,979.46,4609438.0,4.09,1.22,20260720161427,0.4031524031524036,-5.083335696796087,3.7533068783068835,-2.375465515397257,通信ETF,C,47.26,4.63,69.33,64.42,0.0,18.0,开盘后显著走弱；距日内高点较远,False,0.0,0,,回避,当前无优势,64.42,0
603986,兆易创新,自动发现,今日自动发现,432.3,-6.66,479.0,485.87,416.88,463.15,3226037.0,10.66,1.14,20260720161456,0.22351065371793033,-11.025582974869819,3.698906160046067,-9.749478079331942,,C,50.0,-6.66,57.02,18.41,64.38,0.0,,False,0.0,0,,回避,当前无优势,64.38,0
300903,科翔股份,自动发现,今日自动发现,66.0,4.04,65.22,69.78,64.33,63.44,289893.0,13.18,1.7,20260720161424,0.306422018348624,-5.417024935511606,2.5959894295041197,1.1959521619135272,,C,50.0,4.04,54.92,64.08,0.0,8.0,距日内高点较远,False,0.0,0,,回避,当前无优势,64.08,0
688256,寒武纪,国产AI芯片,核心池,1209.0,1.55,1240.0,1278.53,1167.0,1190.58,1975232.0,2.57,1.16,20260720161454,0.37658029229803647,-5.438276770979167,3.5989717223650297,-2.500000000000002,科创芯片ETF,C,55.77,3.6,68.59,63.69,0.0,18.0,开盘后显著走弱；距日内高点较远,False,0.0,0,,回避,当前无优势,63.69,0
000063,中兴通讯,自动发现,今日自动发现,33.73,-6.31,36.0,36.18,33.14,36.0,1065033.0,7.64,0.95,20260720161451,0.19407894736841988,-6.7716970702045405,1.780325890162926,-6.305555555555564,,C,50.0,-6.31,56.05,23.43,63.18,0.0,,False,0.0,0,,回避,当前无优势,63.18,0
002028,思源电气,自动发现,今日自动发现,151.5,3.03,149.99,157.43,148.05,147.05,216505.0,2.33,0.95,20260720161403,0.36780383795309063,-3.76675347773614,2.3302938196555045,1.0067337822521338,,C,50.0,3.03,54.67,62.06,0.0,0.0,,False,0.0,0,,回避,当前无优势,62.06,0
688008,澜起科技,自动发现,今日自动发现,189.94,3.45,195.0,198.0,180.25,183.6,1454518.0,6.74,1.0,20260720161500,0.5459154929577463,-4.070707070707069,5.3758668515950125,-2.5948717948718003,,C,50.0,3.45,56.33,61.69,0.0,18.0,开盘后显著走弱；距日内高点较远,False,0.0,0,,回避,当前无优势,61.69,0
603019,中科曙光,自动发现,今日自动发现,91.04,3.58,90.86,95.96,88.88,87.89,880607.0,6.51,0.95,20260720161452,0.30508474576271344,-5.127136306794489,2.4302430243024364,0.1981069777680089,,C,50.0,3.58,55.89,61.6,0.0,8.0,距日内高点较远,False,0.0,0,,回避,当前无优势,61.6,0
600111,北方稀土,自动发现,今日自动发现,37.58,0.35,37.85,38.18,36.69,37.45,253750.0,1.87,0.95,20260720161451,0.5973154362416103,-1.5715034049240462,2.4257290814935883,-0.7133421400264295,,C,50.0,0.35,54.81,60.0,0.0,0.0,,False,0.0,0,,回避,当前无优势,60.0,0
